iops,flops
0.040862185,1.343963005
2.691412115,2.255862665
2.710609125,2.244818695
2.70023929,2.2539587
2.70562705,2.25027551
2.711608445,2.24963648
2.71467182,2.257406165
2.702813785,2.258884775
2.71040441,2.24680029
2.713840255,2.25065358
2.710623685,2.25771861
2.69970267,2.25101898
2.698460835,2.24066493
2.699765915,2.236750355
2.71482435,2.24474012
2.69952963,2.24988295
2.692924115,2.24579348
2.700871075,2.2488606
2.712695965,2.252580225
2.706202975,2.249854565
2.70890662,2.244176935
2.720726995,2.254628425
2.713392605,2.24635859
2.699204795,2.24920374
2.71916561,2.251686045
2.68841202,2.24755944
2.71227397,2.24503048
2.73079464,2.03165704
2.02606621,1.90650579
2.590775495,2.24242179
2.709970515,2.244145925
2.7043037,2.24388318
2.69611699,2.239038445
2.69223115,2.24076895
2.70387831,2.250355205
2.71637464,2.24887236
2.70366474,2.246994575
2.702526435,2.2439515
2.718786,2.240945945
2.71453966,2.242453115
2.720601835,2.246273925
2.7158509,2.247050435
2.719572205,2.243508435
2.713511675,2.247751835
2.704437435,2.24313334
2.7027462,2.24508942
2.705524185,2.243212825
2.706950645,2.24827596
2.72634894,2.241139425
2.6887371,2.243694635
2.68939132,2.246695955
2.70761687,2.24169792
2.70156572,2.246220795
2.686979015,2.241489845
2.701559315,2.245243595
2.69768513,2.242692865
2.7130593,2.248244005
2.700338935,2.250360805
2.707588065,2.247544425
2.707462975,2.24480095
2.708791085,2.23972392
2.718542505,2.25526959
2.70766979,2.257981005
2.7305551,2.241968575
2.719425135,2.24569576
2.696732815,2.24342272
2.711684535,2.251005085
2.69330929,2.258044775
2.707577215,2.26327143
2.70788455,2.256969435
2.72618682,2.252507425
2.715487425,2.246142255
2.702015925,2.24815031
2.70961712,2.249689995
2.714535425,2.25211742
2.7140841,2.24696815
2.711930725,2.246873615
2.6989942,2.25158829
2.71071654,2.24896056
2.68508086,2.25767794
2.70619384,2.25121799
2.704143295,2.24351414
2.7125238,2.244197515
2.71936483,2.24582722
2.69312526,2.248924685
2.70713457,2.255975295
2.70807572,2.246597185
2.71495945,1.985792725
1.666945385,2.184719075
2.7327349,2.25341774
2.74103641,2.25212421
2.737547575,2.247979895
2.713588605,2.252020295
2.723812315,2.247044485
2.73339129,2.24332983
2.7153707,2.252947935
2.716095025,2.247577465
2.714198235,2.240913395
2.708100605,2.24389963
2.70866785,2.24929397
2.678634,2.24517664
2.70672976,2.25029189
2.72438103,2.23939758
2.7128962,2.243204985
2.730518,2.2438899
2.722830215,2.246212815
2.72109362,2.25201564
2.71955481,2.244556405
2.72774516,2.24638771
2.72292363,2.256815785
2.716239225,2.252614455
2.69950044,2.24679917
2.70548327,2.24619962
2.71724341,2.25030813
2.69325476,2.247120155
2.726929765,2.252785255
2.726194415,2.249577575
2.73981862,2.25056132
2.727935805,2.25034761
2.713643345,2.25281252
2.746305485,2.24877163
2.718976435,2.25491091
2.707252135,2.25645203
2.724234275,2.249973215
2.722983165,2.25019963
2.7346466,2.249530745
2.721638325,2.255044855
2.695050155,2.251582445
2.71227642,2.25311982
2.739589265,2.25582742
2.707633145,2.268629615
2.71587792,2.259461295
2.728401305,2.24746431
2.722031165,2.24479283
2.71745607,2.24452368
2.717860985,2.246147715
2.717148245,2.245031775
2.70602668,2.247827015
2.7307896,2.250412745
2.70428767,2.24894978
2.70935238,2.257011855
2.703550185,2.249990715
2.728439665,2.25372
2.716012985,2.26357901
2.71222224,2.26238362
2.68745505,2.252010005
2.71739916,2.253600125
2.62183362,1.778584815
2.268732235,1.787584505
2.709496265,2.264931445
2.69630144,2.262440915
2.69377304,2.252158265
2.706872665,2.257552535
2.74113686,2.266113815
2.71436907,2.2613199
2.699127165,2.24693546
2.699136895,2.252864985
2.707880245,2.250198685
2.714262985,2.24928473
2.710209075,2.24936152
2.71048729,2.25091531
2.707818855,2.246016465
2.68393965,2.242497215
2.70396399,2.243492825
2.73016842,2.24598983
2.703409765,2.2460886
2.717135505,2.24432628
2.69024644,2.249204545
2.701370245,2.245371205
2.723611135,2.246909665
2.710523095,2.248697045
2.72315694,2.249027725
2.71692001,2.24895951
2.70632299,2.2472289
2.714735765,2.256952425
2.723385945,2.25249136
2.702768355,2.25867152
2.71559113,2.24890575
2.685270175,2.242500995
2.722684405,2.24425285
