iops,flops
2.69290651,2.25625295
2.699003265,2.258674985
2.69103807,2.276242185
2.702195615,2.25631189
2.703829695,2.25414364
2.715998075,2.26647652
2.71518352,2.2512329
2.7211345,2.24972062
2.70737376,2.25165052
2.703712235,2.25152613
2.70634224,2.251841165
2.704037875,2.25066506
2.710555715,2.25350587
2.68423323,2.25911238
2.691012905,2.248046115
2.68524543,2.253777085
2.69219587,2.252778955
2.69501624,2.257890355
2.70143272,2.25502501
2.70913902,2.26919392
2.7229531,2.252339495
2.69760491,2.249047815
2.708227865,2.24705131
2.721321085,2.248659385
2.71719042,2.25331085
2.73411257,2.25831032
2.699918935,2.259714345
2.709472605,2.24945553
2.70249021,2.25356971
2.40443364,1.685767335
2.00315731,1.88261773
2.69588781,2.265167625
2.704892155,2.269479065
2.70872581,2.2684368
2.697715615,2.262494815
2.717405775,2.263844905
2.707024985,2.258389385
2.70946039,2.2526
2.707643085,2.24951328
2.697671445,2.249456055
2.699415355,2.248559635
2.69264961,2.242361905
2.721672555,2.25266923
2.721460035,2.25741495
2.72226829,2.2575042
2.71638276,2.25128351
2.729493375,2.260570095
2.71314603,2.26172219
2.70913216,2.2527092
2.717546755,2.253915405
2.703546615,2.250304245
2.730495425,2.2417199
2.728850215,2.243896235
2.702245945,2.241503355
2.72042218,2.25506743
2.73531573,2.26050678
2.723700525,2.256437995
2.704898035,2.25800764
2.722908685,2.2570156
2.72351625,2.26571079
2.723357245,2.26595964
2.7155765,2.259038075
